campaign_id,campaign_name,platform,channel,region,status,start_date,end_date,budget_allocated,created_at,funnel_stage
141,Growify | TOF | Traffic-LPV | UAE,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,573.1561377777778,2026-05-24 15:51:44,BOF
142,Growify | TOF | Traffic-LPV | US,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,1494.2962745098039,2026-05-24 15:51:44,BOF
143,Growify | TOF | Traffic-ThruPlay | India,Meta,Paid Social,India,PAUSED,2026-05-24,2026-05-24,564.6385964736842,2026-05-24 15:51:44,BOF
144,growify | mof+bof | mehfil+fitoor+mahiya | lehenga+saree| sale | us+uae+can+aus,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,62.285000000000004,2026-05-24 15:51:44,BOF
145,growify | retarget | conversion | aus+can+uk+usa,Meta,Paid Social,USA,ACTIVE,2026-05-24,2026-05-24,236.32,2026-05-24 15:51:44,BOF
146,growify | retarget | conversion | india,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,770.51,2026-05-24 15:51:44,BOF
147,growify | retarget | messaging | us+can,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,233.3979996,2026-05-24 15:51:44,BOF
148,growify | tof | 23/01/26 | abo | india | sales,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,0.0,2026-05-24 15:51:44,BOF
149,growify | tof | 23/01/26 | abo | us | sales,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,1393.05,2026-05-24 15:51:44,BOF
150,growify | tof | conversion | can,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,2586.62,2026-05-24 15:51:44,BOF
151,growify | tof | conversion | india,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,602.5514285714286,2026-05-24 15:51:44,BOF
152,growify | tof | conversion | uae,Meta,Paid Social,  MIDDLE EAST  ,PAUSED,2026-05-24,2026-05-24,667.5939591111111,2026-05-24 15:51:44,BOF
153,growify | tof | conversion | us,Meta,Paid Social,  USA  ,ACTIVE,2026-05-24,2026-05-24,127076.20857142856,2026-05-24 15:51:44,BOF
154,growify | tof | conversion | us+can,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,7535.62,2026-05-24 15:51:44,BOF
155,growify | tof | conversion | us+uk,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,145.75729866666666,2026-05-24 15:51:44,BOF
156,growify | tof | messaging | uae,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,681.7595555714286,2026-05-24 15:51:44,BOF
157,growify | tof | traffic-lpv | uae,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,77.5386815,2026-05-24 15:51:44,BOF
158,growify | tof | traffic-lpv | us,Meta,Paid Social,USA,  PAUSED  ,2026-05-24,2026-05-24,5704.026666666666,2026-05-24 15:51:44,BOF
159,growify | tof | traffic-thruplay | india,Meta,Paid Social,India,PAUSED,2026-05-24,2026-05-24,6.4399999999999995,2026-05-24 15:51:44,BOF
